Month,PortfolioValue
2014-01,10000
2014-02,20307.82527
2014-03,31690.10776
2014-04,41653.23652
2014-05,54972.04915
2014-06,67871.97703
2014-07,78852.42123
2014-08,91232.4065
2014-09,101352.2594
2014-10,115900.1875
2014-11,129605.3642
2014-12,134994.3092
2015-01,153570.5017
2015-02,164192.8662
2015-03,167628.5744
2015-04,171518.4526
2015-05,186804.5792
2015-06,195361.5041
2015-07,209198.2235
2015-08,205430.8156
2015-09,214853.5408
2015-10,228013.2684
2015-11,234322.7369
2015-12,244650.5156
2016-01,242864.9426
2016-02,234353.5765
2016-03,269554.7111
2016-04,283435.1475
2016-05,304639.256
2016-06,319404.7823
2016-07,342922.4713
2016-08,358785.7249
2016-09,361637.5414
2016-10,372765.1291
2016-11,364920.9081
2016-12,373203.7811
2017-01,400323.4302
2017-02,425207.0194
2017-03,449292.6558
2017-04,465674.2059
2017-05,491550.2977
2017-06,496423.4295
2017-07,535423.872
2017-08,536965.1819
2017-09,539964.7065
2017-10,580122.1164
2017-11,584017.9606
2017-12,611387.3857
2018-01,650242.0226
2018-02,628704.8643
2018-03,615987.1957
2018-04,664093.1332
2018-05,673895.3019
2018-06,682523.7668
2018-07,733433.29
2018-08,764358.0808
2018-09,725275.7102
2018-10,699189.2167
2018-11,742184.4106
2018-12,751215.448
2019-01,759030.131
2019-02,766335.5515
2019-03,831542.9539
2019-04,854346.7311
2019-05,877047.5522
2019-06,877194.1039
2019-07,837276.9923
2019-08,840141.5367
2019-09,884529.9454
2019-10,925595.9714
2019-11,949514.0326
2019-12,968366.4967
2020-01,961945.0962
2020-02,910800.7652
2020-03,709072.6698
2020-04,823164.5947
2020-05,809821.8332
2020-06,880835.5022
2020-07,956786.4254
2020-08,993921.4723
2020-09,991706.3677
2020-10,1036520.691
2020-11,1164623.168
2020-12,1265573.484
2021-01,1244150.784
2021-02,1335778.121
2021-03,1360630.655
2021-04,1365110.538
2021-05,1463906.049
2021-06,1486936.06
2021-07,1500865.832
2021-08,1641228.268
2021-09,1697781.357
2021-10,1712936.91
2021-11,1656204.409
2021-12,1702369.915
2022-01,1710976.831
2022-02,1667106.326
2022-03,1743700.601
2022-04,1717538.217
2022-05,1675517.626
2022-06,1604260.066
2022-07,1754351.026
2022-08,1825805.665
2022-09,1767443.085
2022-10,1872342.685
2022-11,1959903.965
2022-12,1901672.323
2023-01,1865126.461
2023-02,1837300.349
2023-03,1853225.17
2023-04,1938513.526
2023-05,1998883.801
2023-06,2079486.034
2023-07,2150687.067
2023-08,2106249.77
2023-09,2158311.752
2023-10,2106908.716
2023-11,2233249.486
2023-12,2420533.762
2024-01,2429898.742
2024-02,2468654.123
2024-03,2517296.284
2024-04,2558634.29
2024-05,2560241.236
2024-06,2738407.433
2024-07,2855677.192
2024-08,2898267.036
2024-09,2974298.219
2024-10,2799289.362
2024-11,2800702.531
2024-12,2754261.74
2025-01,2748373.157
2025-02,2596604.296
2025-03,2770283.592
2025-04,2876262.628
2025-05,2935492.248
2025-06,3036383.38
2025-07,2967609.159